"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000184;0,331313;2,48889;9.200;-60;-60
0,000185;0,335354;2,47677;9.250;-32,6068;-60
0,000186;0,327273;2,48889;9.300;-20,8148;-60
0,000187;0,343434;2,48485;9.350;-24,6981;-60
0,000188;0,347475;2,48081;9.400;-49,0213;-60
0,000189;0,331313;2,48485;9.450;-60;-60
0,00019;0,335354;2,48081;9.500;-60;-60
0,000191;0,339394;2,48485;9.550;-60;-60
0,000192;0,331313;2,47273;9.600;-60;-60
0,000193;0,335354;2,48081;9.650;-60;-60
0,000194;0,339394;2,48889;9.700;-60;-60
0,000195;0,347475;2,48081;9.750;-32,1469;-60
0,000196;0,331313;2,49697;9.800;-24,1771;-60
0,000197;0,327273;2,47677;9.850;-30,8274;-60
0,000198;0,339394;2,48081;9.900;-60;-60
0,000199;0,331313;2,49293;9.950;-60;-60
0,0002;0,339394;2,48081;10.000;-60;-60
0,000201;0,331313;2,48081;10.050;-60;-60
0,000202;0,331313;2,48081;10.100;-60;-60
0,000203;0,335354;2,48485;10.150;-60;-60
0,000204;0,335354;2,48081;10.200;-54,3522;-60
0,000205;0,327273;2,49293;10.250;-26,9446;-60
0,000206;0,343434;2,48889;10.300;-21,8455;-60
0,000207;0,343434;2,48485;10.350;-32,088;-60
0,000208;0,331313;2,48485;10.400;-60;-60
0,000209;0,343434;2,48485;10.450;-60;-60
0,00021;0,343434;2,48889;10.500;-60;-60
0,000211;0,335354;2,47677;10.550;-59,7068;-60
0,000212;0,347475;2,49697;10.600;-60;-60
0,000213;0,343434;2,48889;10.650;-60;-60
0,000214;0,335354;2,47677;10.700;-49,7827;-60
0,000215;0,331313;2,46465;10.750;-27,1071;-60
0,000216;0,335354;2,48889;10.800;-25,1915;-60
0,000217;0,339394;2,48485;10.850;-38,5267;-60
0,000218;0,339394;2,48485;10.900;-60;-60
0,000219;0,339394;2,47677;10.950;-60;-60
0,00022;0,335354;2,48485;11.000;-60;-60
0,000221;0,335354;2,47273;11.050;-60;-60
0,000222;0,335354;2,49293;11.100;-60;-60
0,000223;0,339394;2,47677;11.150;-60;-60
