"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000326;5,13131;0,40404;16.300;-60;-60
0,000327;5,13131;0,40404;16.350;-60;-60
0,000328;5,13131;0,40404;16.400;-60;-53,7375
0,000329;5,13131;0,40404;16.450;-60;-54,8607
0,00033;5,13131;0,40404;16.500;-60;-59,2987
0,000331;5,13131;0,40404;16.550;-60;-60
0,000332;5,13131;0,40404;16.600;-38,0652;-30,5591
0,000333;5,13131;0,40404;16.650;-25,6586;-18,205
0,000334;5,13131;0,40404;16.700;-29,0659;-21,6104
0,000335;5,13131;0,40404;16.750;-52,4555;-44,8217
0,000336;5,13131;0,40404;16.800;-60;-60
0,000337;5,13131;0,40404;16.850;-60;-60
0,000338;5,13131;0,40404;16.900;-60;-60
0,000339;5,13131;0,40404;16.950;-60;-60
0,00034;5,13131;0,40404;17.000;-60;-60
0,000341;5,13131;0,40404;17.050;-60;-60
0,000342;5,13131;0,444444;17.100;-39,2796;-31,4991
0,000343;5,13131;0,40404;17.150;-30,6791;-23,0972
0,000344;5,13131;0,40404;17.200;-36,9509;-29,4463
0,000345;5,13131;0,40404;17.250;-60;-60
0,000346;5,13131;0,40404;17.300;-60;-60
0,000347;5,13131;0,40404;17.350;-60;-60
0,000348;5,13131;0,40404;17.400;-60;-60
0,000349;5,13131;0,40404;17.450;-60;-60
0,00035;5,13131;0,40404;17.500;-60;-60
0,000351;5,13131;0,40404;17.550;-60;-57,6342
0,000352;5,13131;0,40404;17.600;-30,997;-23,6282
0,000353;5,13131;0,40404;17.650;-25,4933;-18,0479
0,000354;5,13131;0,40404;17.700;-35,009;-27,5236
0,000355;5,13131;0,40404;17.750;-60;-60
0,000356;5,13131;0,40404;17.800;-60;-60
0,000357;5,13131;0,40404;17.850;-60;-60
0,000358;5,13131;0,40404;17.900;-60;-60
0,000359;5,13131;0,40404;17.950;-60;-60
0,00036;5,13131;0,40404;18.000;-60;-60
0,000361;5,13131;0,40404;18.050;-55,8578;-48,5068
0,000362;5,13131;0,40404;18.100;-35,5963;-28,0626
0,000363;5,13131;0,40404;18.150;-32,7491;-25,1508
0,000364;5,13131;0,40404;18.200;-46,682;-39,1322
0,000365;5,13131;0,40404;18.250;-60;-60
0,000366;5,13131;0,40404;18.300;-60;-56,1455
0,000367;5,13131;0,40404;18.350;-60;-60
0,000368;5,13131;0,40404;18.400;-60;-55,1176
0,000369;5,13131;0,40404;18.450;-60;-56,1156
0,00037;5,13131;0,40404;18.500;-60;-60
0,000371;5,13131;0,40404;18.550;-44,2845;-36,8186
0,000372;5,13131;0,40404;18.600;-27,2106;-19,7733
0,000373;5,13131;0,40404;18.650;-27,5718;-20,1165
0,000374;5,13131;0,40404;18.700;-44,974;-37,3979
0,000375;5,13131;0,40404;18.750;-60;-60
0,000376;5,13131;0,40404;18.800;-60;-60
0,000377;5,13131;0,40404;18.850;-60;-60
0,000378;5,13131;0,40404;18.900;-60;-60
0,000379;5,13131;0,40404;18.950;-60;-60
0,00038;5,13131;0,40404;19.000;-60;-60
0,000381;5,13131;0,40404;19.050;-46,4422;-38,8737
0,000382;5,13131;0,40404;19.100;-34,5658;-27,0051
0,000383;5,13131;0,40404;19.150;-37,4504;-29,8268
0,000384;5,13131;0,40404;19.200;-60;-56,8776
0,000385;5,13131;0,40404;19.250;-60;-60
0,000386;5,13131;0,40404;19.300;-60;-60
0,000387;5,13131;0,40404;19.350;-60;-60
0,000388;5,13131;0,40404;19.400;-60;-59,9929
0,000389;5,13131;0,40404;19.450;-60;-59,8935
0,00039;5,13131;0,40404;19.500;-60;-60
