"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000338;5,12727;5,25253;16.900;-60;-60
0,000339;5,13131;5,23232;16.950;-60;-60
0,00034;5,13131;5,25253;17.000;-60;-60
0,000341;5,13131;5,25253;17.050;-60;-60
0,000342;5,12727;5,23232;17.100;-39,5856;-60
0,000343;5,13131;5,25253;17.150;-30,7616;-60
0,000344;5,12727;5,25253;17.200;-37,1736;-60
0,000345;5,13131;5,25253;17.250;-60;-60
0,000346;5,12727;5,25253;17.300;-60;-60
0,000347;5,13131;5,25253;17.350;-60;-60
0,000348;5,13131;5,23232;17.400;-60;-60
0,000349;5,13131;5,25253;17.450;-60;-60
0,00035;5,13131;5,25253;17.500;-60;-60
0,000351;5,13131;5,23232;17.550;-60;-60
0,000352;5,12727;5,25253;17.600;-31,0633;-60
0,000353;5,13131;5,25253;17.650;-25,5156;-60
0,000354;5,13131;5,25253;17.700;-35,1823;-60
0,000355;5,13131;5,23232;17.750;-60;-60
0,000356;5,13131;5,25253;17.800;-60;-60
0,000357;5,13131;5,23232;17.850;-60;-60
0,000358;5,13131;5,23232;17.900;-60;-60
0,000359;5,13131;5,25253;17.950;-60;-60
0,00036;5,13131;5,23232;18.000;-60;-60
0,000361;5,13131;5,25253;18.050;-59,8449;-60
0,000362;5,13131;5,25253;18.100;-35,4451;-60
0,000363;5,13131;5,25253;18.150;-33,1841;-60
0,000364;5,13131;5,25253;18.200;-45,7442;-60
0,000365;5,13131;5,23232;18.250;-60;-60
0,000366;5,13131;5,25253;18.300;-60;-60
0,000367;5,13131;5,25253;18.350;-60;-60
0,000368;5,13131;5,25253;18.400;-60;-60
0,000369;5,13131;5,23232;18.450;-60;-60
0,00037;5,13131;5,25253;18.500;-60;-60
0,000371;5,13131;5,25253;18.550;-43,6587;-60
0,000372;5,13131;5,25253;18.600;-27,2932;-60
0,000373;5,13131;5,23232;18.650;-27,5452;-60
0,000374;5,13131;5,25253;18.700;-45,5653;-60
0,000375;5,12727;5,25253;18.750;-60;-60
0,000376;5,13131;5,25253;18.800;-60;-60
0,000377;5,12323;5,23232;18.850;-60;-60
0,000378;5,13131;5,23232;18.900;-60;-60
0,000379;5,13131;5,25253;18.950;-60;-60
0,00038;5,13131;5,23232;19.000;-60;-60
0,000381;5,13131;5,25253;19.050;-47,5712;-60
0,000382;5,12727;5,23232;19.100;-34,4532;-60
0,000383;5,13131;5,25253;19.150;-37,9742;-60
0,000384;5,13131;5,25253;19.200;-58,9867;-60
0,000385;5,13131;5,25253;19.250;-60;-60
0,000386;5,13131;5,23232;19.300;-60;-60
0,000387;5,13131;5,25253;19.350;-60;-60
0,000388;5,13131;5,25253;19.400;-60;-60
0,000389;5,13131;5,23232;19.450;-60;-60
0,00039;5,12727;5,25253;19.500;-60;-60
0,000391;5,13131;5,23232;19.550;-34,7634;-60
0,000392;5,12727;5,25253;19.600;-25,9326;-60
0,000393;5,13131;5,23232;19.650;-32,1153;-60
