"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000272;5,13131;0,40404;13.600;-60;-59,0095
0,000273;5,13131;0,484848;13.650;-42,7367;-32,9702
0,000274;5,13131;0,444444;13.700;-26,0869;-16,9143
0,000275;5,13131;0,444444;13.750;-26,8196;-17,585
0,000276;5,13131;0,444444;13.800;-44,4205;-36,1013
0,000277;5,13131;0,444444;13.850;-60;-52,1442
0,000278;5,13131;0,40404;13.900;-60;-51,4661
0,000279;5,13131;0,444444;13.950;-60;-60
0,00028;5,13131;0,444444;14.000;-60;-53,8436
0,000281;5,13131;0,444444;14.050;-60;-48,2373
0,000282;5,13131;0,444444;14.100;-60;-53,3825
0,000283;5,13131;0,444444;14.150;-38,766;-43,212
0,000284;5,13131;0,444444;14.200;-27,03;-31,7734
0,000285;5,13131;0,40404;14.250;-30,386;-34,4675
0,000286;5,13131;0,484848;14.300;-56,4846;-60
0,000287;5,13131;0,525253;14.350;-60;-60
0,000288;5,13131;0,484848;14.400;-60;-53,9972
0,000289;5,13131;0,40404;14.450;-60;-60
0,00029;5,13131;0,525253;14.500;-60;-54,147
0,000291;5,13131;0,484848;14.550;-60;-50,3608
0,000292;5,13131;0,444444;14.600;-60;-58,5754
0,000293;5,13131;0,444444;14.650;-33,4157;-24,1928
0,000294;5,13131;0,40404;14.700;-24,8478;-15,6869
0,000295;5,13131;0,525253;14.750;-31,3746;-22,2574
0,000296;5,13131;0,444444;14.800;-60;-59,0046
0,000297;5,13131;0,444444;14.850;-60;-47,8999
0,000298;5,13131;0,444444;14.900;-60;-48,4278
0,000299;5,13131;0,484848;14.950;-60;-60
0,0003;5,13131;0,40404;15.000;-60;-50,1374
0,000301;5,13131;0,40404;15.050;-60;-48,9021
0,000302;5,13131;0,444444;15.100;-60;-60
0,000303;5,13131;0,40404;15.150;-33,3362;-39,9147
0,000304;5,13131;0,525253;15.200;-27,8662;-34,7164
0,000305;5,13131;0,444444;15.250;-37,8234;-46,0283
0,000306;5,13131;0,525253;15.300;-60;-58,4232
0,000307;5,13131;0,484848;15.350;-60;-55,4045
0,000308;5,13131;0,40404;15.400;-60;-60
0,000309;5,13131;0,444444;15.450;-60;-55,5046
0,00031;5,13131;0,484848;15.500;-60;-48,3239
0,000311;5,13131;0,40404;15.550;-60;-53,2479
0,000312;5,13131;0,444444;15.600;-50,5728;-40,5358
0,000313;5,13131;0,444444;15.650;-28,1555;-19,0142
0,000314;5,13131;0,525253;15.700;-25,829;-16,6063
0,000315;5,13131;0,525253;15.750;-39,034;-30,159
0,000316;5,13131;0,565657;15.800;-60;-54,1793
0,000317;5,13131;0,525253;15.850;-60;-45,9723
0,000318;5,13131;0,565657;15.900;-60;-49,1641
0,000319;5,13131;0,525253;15.950;-60;-56,5879
0,00032;5,13131;0,484848;16.000;-60;-49,5958
0,000321;5,13131;0,484848;16.050;-60;-48,9092
0,000322;5,13131;0,484848;16.100;-46,372;-54,6851
0,000323;5,13131;0,444444;16.150;-30,7748;-38,6901
0,000324;5,13131;0,40404;16.200;-30,9909;-38,8066
0,000325;5,13131;0,525253;16.250;-50,0638;-60
0,000326;5,13131;0,484848;16.300;-60;-55,1605
0,000327;5,13131;0,444444;16.350;-60;-60
0,000328;5,13131;0,525253;16.400;-60;-59,1712
0,000329;5,13131;0,525253;16.450;-60;-52,7207
0,00033;5,13131;0,444444;16.500;-60;-50,6769
0,000331;5,13131;0,646465;16.550;-60;-60
0,000332;5,13131;0,484848;16.600;-38,0752;-28,6845
0,000333;5,13131;0,606061;16.650;-25,6927;-16,5738
0,000334;5,13131;0,484848;16.700;-29,101;-19,9544
0,000335;5,13131;0,444444;16.750;-52,4964;-44,8747
0,000336;5,13131;0,525253;16.800;-60;-47,3821
